nCorrect,nTrials,pCorrect,Fold
720,1433,50.2442428471738,1
684,1434,47.6987447698745,2
718,1433,50.1046755059316,3
752,1434,52.4407252440725,4
738,1433,51.5003489183531,5
702,1433,48.9881367759944,6
710,1434,49.5118549511855,7
747,1433,52.1284019539428,8
730,1434,50.9065550906555,9
709,1434,49.442119944212,10
685,1433,47.8018143754361,11
730,1433,50.9420795533845,12
700,1434,48.8145048814505,13
690,1433,48.1507327285415,14
742,1434,51.7433751743375,15
705,1433,49.1974877878576,16
727,1433,50.7327285415213,17
722,1433,50.3838101884159,18
708,1433,49.4068387997209,19
690,1433,48.1507327285415,20
